channel,period_interval_raw,deleted_at_v2,period_interval,about,browserUserAgent,periodInterval,score_index_info,day_of_week_raw,region,src_date,v_677,CHANNEL,f_versi,month,day_of_week,BROWSER_USER_AGENT,devtype,v_zve,translation,nullableFlag,dte,endDate,HEADLINE_TITLE_TEXT,channel_2,vby19,medium,file_path,date_v2,dim_chan,qtrval,year_6,sadt73,p_488,created_at,v_868,tenant_identifier,measvol,user_device_type,chrome,enddt,channel_14,SCORE_INDEX,ifpg43,whifrq29,from_date,q3,dim_end_,monthval,src_salary_compensation,val_836,year,src_end_date,dim_time,fact_quarter,dev_type,meta_onpm,datetime,year_2,v_873,educationLevel,c_601,VITAL_SIGN,d_ji,error,eaxwws4,kjpyvu64,raw_timestamp,price_cost_val,THRESHOLD_LIMIT,end_dt,dim_etl_batch_id,ttl
Phone,FY 2025,,Q1 2024,The customer account represents data processing activities.,Chrome,H2 2023,5.3,Saturday,PA,2018-07-18,2.25,Email,4.15.72,May,Friday,Firefox,IoT,Firefox,Hola,YES,2023-08-11,2020-02-27,New: Partnership,Chat,Smart TV,Phone,/var/uploads/daily_348.csv,2021-08-22,Email,Q3 2022,2002,6.4,2026-01-13T00:00:00Z,2023-11-13T11:49:40Z,2020-01-14,tenant-011,3371.9,Mobile,Brave,2020-06-21,Social Media,3.12,September,voice_45ae0e058d9e7c90.wav,2019-03-24,Q1 2023,2020-09-09,March,"$179,590",2018,2025,2026-01-04,01:22:31,Q3 2020,Smart TV,Q4 2025,2025-07-14T00:00:00Z,2012,Metformin 500mg,High School,Opera,BP 151/101 HR 109,false,HTTP 503 Service Unavailable,+44,Firefox,2018-08-27 00:52:13,7103.72,min=8844,2019-10-02,batch-20180413-56,306 days
Social Media,H2 2023,,FY 2025,This record manages compliance records.,Safari,Jan-Mar,1.17,Friday,PA,2026-01-31,4.91,Social Media,5.10.20,July,Saturday,Firefox,Desktop,Brave,Hola,false,2026-08-27,2022-12-23,Updated: Partnership,In-Store,Mobile,Mobile,/var/data/export_958.json,2024-10-03,Phone,Q4 2023,1996,3.73,2025-05-14T00:00:00Z,2022-11-20T06:01:12Z,2022-10-22,tenant-031,410.59,Mobile,Edge,2025-11-06,Chat,0.31,June,voice_55c69bfa1e28a705.wav,2022-11-05,Q2 2025,2022-11-05,January,"$214,283",2005,1997,2026-09-07,23:17:28,Q4 2023,Mobile,Q3 2020,2018-06-22T00:00:00Z,1995,Metformin 500mg,High School,Brave,BP 172/83 HR 91,false,FileNotFoundError: 7787,+81,Edge,2019-05-05T12:52:46Z,5345.33,crit=4213,2019-07-09,batch-20250524-42,112 days
Email,Q1 2024,,Q1 2024,The service tracks data processing activities.,Edge,2020-2025,1.18,Wednesday,OH,2021-10-07,7.69,Email,0.19.76,June,Sunday,Brave,Wearable,Safari,Namaste,true,2024-12-29,2018-03-13,Breaking: Policy Change,Chat,Tablet,Web,/var/exports/daily_655.xml,2018-01-18,Chat,Q3 2024,2004,3.85,2018-05-16T00:00:00Z,2024-10-05 11:27:13,2022-03-05,tenant-045,5029.42,Wearable,Firefox,2021-03-28,Phone,6.38,March,voice_0b4a78b5986bd293.wav,2024-05-01,Q3 2023,2026-12-07,September,"$236,448",2022,2008,2021-08-16,16:31:49,Q1 2021,Tablet,Q3 2026,2022-06-07T00:00:00Z,2023,Ibuprofen 200mg,Associate's,Opera,BP 98/78 HR 64,true,PermissionDenied: insufficient privileges,+81,Safari,2020-09-04T01:18:08Z,5555.07,max=2905,2020-07-22,batch-20241024-69,112 days
Email,H2 2023,2019-06-16 10:43:39,H2 2023,The product manages operational metrics.,Firefox,Jan-Mar,9.99,Sunday,CO,2023-12-18,8.58,In-Store,4.7.84,March,Tuesday,Edge,Tablet,Edge,Bonjour,false,2024-11-18,2023-04-20,Updated: Product Launch,Chat,Desktop,In-Store,/var/uploads/batch_444.json,2026-11-12,In-Store,Q4 2023,1998,1.48,2024-03-24T00:00:00Z,2025-06-15T23:21:54Z,2026-09-30,tenant-036,696.0,Tablet,Brave,2020-04-21,Mobile,7.43,May,voice_03089e6d05af9098.wav,2023-01-04,Q1 2025,2019-06-03,October,"$150,251",2023,2013,2025-03-02,02:45:48,Q1 2021,IoT,Q4 2020,2021-05-15T00:00:00Z,2026,Albuterol 90mcg,Master's,Firefox,BP 127/67 HR 75,false,ValueError: invalid literal for int(),+81,Safari,2025-07-28T03:46:57Z,1163.06,warn=5961,2026-03-21,batch-20200731-84,221 days
Email,H2 2023,,Q1 2024,The service manages transaction histories.,Brave,FY 2025,2.43,Tuesday,NC,2020-03-29,6.73,Mobile,4.17.17,February,Tuesday,Chrome,Desktop,Brave,Namaste,false,2026-11-18,2023-11-07,Breaking: Policy Change,In-Store,Smart TV,Mobile,/var/uploads/daily_391.log,2021-06-03,Email,Q2 2023,2014,3.43,2026-04-18T00:00:00Z,2021-07-16T08:07:17Z,2021-02-21,tenant-025,2827.84,IoT,Chrome,2021-10-08,Web,1.9,May,voice_6f06378bebd941fc.wav,2021-10-18,Q3 2023,2019-08-26,June,"$109,725",2010,2016,2018-11-17,13:59:06,Q3 2022,Mobile,Q1 2020,2019-03-27T00:00:00Z,1991,Lisinopril 10mg,Master's,Opera,BP 138/98 HR 92,false,HTTP 503 Service Unavailable,+1,Chrome,2018-08-11 06:01:26,8838.93,min=3104,2023-12-24,batch-20241103-09,306 days
Phone,FY 2025,,Jan-Mar,This record tracks customer interactions.,Safari,H2 2023,1.49,Tuesday,IL,2020-12-03,0.66,In-Store,1.10.41,May,Tuesday,Opera,Wearable,Edge,Hola,NO,2019-07-24,2020-11-02,Breaking: Policy Change,Mobile,Smart TV,Social Media,/var/tmp/batch_536.yaml,2021-12-30,Web,Q4 2022,2017,6.27,2019-09-06T00:00:00Z,2022-08-02T23:46:14Z,2022-06-17,tenant-009,4284.42,Mobile,Chrome,2018-05-03,Web,3.99,April,voice_25c6c5e2eebe2677.wav,2021-06-17,Q3 2025,2022-05-24,February,"$179,857",2025,1994,2026-11-04,02:02:24,Q2 2025,IoT,Q2 2025,2022-04-06T00:00:00Z,2025,Metformin 500mg,Bachelor's,Safari,BP 95/82 HR 70,true,HTTP 503 Service Unavailable,+33,Edge,2018-11-10 21:56:03,1274.78,crit=9993,2026-07-28,batch-20221229-47,254 days
In-Store,H2 2023,2019-04-03 09:31:43,FY 2025,This record represents compliance records.,Safari,Q1 2024,6.0,Friday,CA,2022-10-30,5.02,Web,5.18.33,January,Saturday,Edge,Desktop,Chrome,Namaste,YES,2022-04-03,2024-05-22,Updated: Policy Change,Web,IoT,Email,/var/data/export_61.xml,2026-03-05,Web,Q1 2022,1997,8.55,2022-03-03T00:00:00Z,2018-12-27 07:04:44,2020-11-18,tenant-003,41.6,IoT,Firefox,2022-04-09,Web,8.11,August,voice_c354acade806793a.wav,2018-03-02,Q1 2020,2020-07-04,February,"$229,617",2002,2002,2023-02-04,11:36:44,Q1 2025,IoT,Q3 2025,2019-11-04T00:00:00Z,2007,Metformin 500mg,Associate's,Safari,BP 115/82 HR 120,false,HTTP 503 Service Unavailable,+49,Brave,2020-12-15T10:50:45Z,6944.31,crit=4325,2018-09-08,batch-20211201-75,3 days
Phone,FY 2025,,H2 2023,The customer account manages transaction histories.,Firefox,Q1 2024,5.08,Wednesday,NC,2026-08-23,9.01,Email,1.18.30,April,Wednesday,Chrome,Tablet,Safari,Bonjour,YES,2023-03-30,2023-05-20,Updated: Partnership,In-Store,IoT,In-Store,/var/data/export_622.json,2024-09-14,Phone,Q3 2022,2022,8.34,2019-02-22T00:00:00Z,2018-06-01T03:16:38Z,2020-08-02,tenant-043,5083.26,Smart TV,Edge,2022-04-06,Social Media,2.06,February,voice_93df50fca1aa4e44.wav,2023-03-06,Q4 2020,2019-12-02,May,"$185,053",2019,2014,2018-12-18,13:41:47,Q2 2021,Desktop,Q4 2020,2026-09-24T00:00:00Z,2020,Omeprazole 20mg,Bachelor's,Chrome,BP 122/69 HR 81,false,FileNotFoundError: 9,+81,Opera,2023-02-11 12:11:07,1367.57,min=1597,2021-07-07,batch-20230921-31,282 days
Mobile,FY 2025,,2020-2025,This record monitors transaction histories.,Brave,Q1 2024,9.73,Monday,NC,2022-07-11,2.01,Mobile,3.10.3,January,Saturday,Brave,Wearable,Brave,Namaste,false,2020-12-19,2021-04-05,Breaking: Policy Change,Mobile,Wearable,Phone,/var/uploads/daily_450.log,2024-11-14,Phone,Q3 2020,1995,9.55,2018-04-26T00:00:00Z,2020-12-20T11:08:32Z,2024-07-29,tenant-027,5777.1,Wearable,Edge,2022-06-18,Web,2.41,May,voice_05b6f134003c44ce.wav,2020-04-10,Q4 2020,2026-04-16,November,"$93,658",1992,2023,2022-12-18,02:22:53,Q1 2023,Desktop,Q4 2023,2019-12-21T00:00:00Z,1994,Lisinopril 10mg,Master's,Opera,BP 146/63 HR 86,true,PermissionDenied: insufficient privileges,+61,Firefox,2020-11-06T16:28:26Z,9898.75,warn=4470,2024-08-04,batch-20231026-66,69 days
Chat,Jan-Mar,,FY 2025,This record represents compliance records.,Brave,Jan-Mar,9.93,Tuesday,NC,2022-03-09,8.8,Web,4.16.79,June,Wednesday,Brave,IoT,Chrome,Hola,NO,2020-07-06,2019-10-06,Breaking: Product Launch,Web,Desktop,In-Store,/var/exports/batch_973.csv,2025-03-06,Phone,Q4 2020,2013,1.17,2022-01-09T00:00:00Z,2021-01-14T12:33:05Z,2022-08-10,tenant-028,8879.48,Tablet,Chrome,2023-09-15,Phone,7.62,January,voice_e93576d50991f836.wav,2019-04-22,Q4 2023,2020-05-06,April,"$249,851",2026,2011,2022-12-09,05:54:48,Q2 2022,IoT,Q1 2020,2018-11-05T00:00:00Z,2017,Albuterol 90mcg,Bachelor's,Safari,BP 178/62 HR 86,false,PermissionDenied: insufficient privileges,+33,Brave,2023-07-27 01:29:46,7889.12,crit=4921,2023-10-21,batch-20180423-61,118 days
Social Media,Q1 2024,,FY 2025,The customer account tracks customer interactions.,Opera,FY 2025,8.93,Saturday,FL,2025-01-10,8.75,Chat,0.6.49,November,Wednesday,Firefox,Wearable,Brave,Konnichiwa,true,2023-05-13,2024-08-28,Updated: Policy Change,Phone,Desktop,In-Store,/var/config/batch_568.log,2021-04-08,Social Media,Q4 2023,2009,9.91,2019-07-01T00:00:00Z,2018-06-12 14:08:31,2020-12-31,tenant-020,9781.72,Tablet,Brave,2021-01-02,Mobile,7.47,May,voice_66188cf444f82c78.wav,2020-10-10,Q4 2024,2018-10-28,November,"$111,776",2018,2017,2020-07-28,21:33:44,Q4 2026,Tablet,Q3 2026,2020-04-12T00:00:00Z,1993,Omeprazole 20mg,High School,Brave,BP 122/60 HR 72,true,HTTP 503 Service Unavailable,+55,Firefox,2026-07-10 20:21:38,5294.23,max=9755,2019-08-13,batch-20220719-41,336 days
Email,Q1 2024,,Q1 2024,This record tracks customer interactions.,Firefox,Jan-Mar,1.59,Wednesday,WA,2019-12-28,5.05,Email,2.8.31,May,Sunday,Edge,Mobile,Chrome,Hola,true,2025-01-02,2024-03-03,Breaking: Policy Change,Web,Mobile,Mobile,/var/uploads/batch_256.csv,2023-09-30,Social Media,Q2 2021,1996,2.92,2021-08-15T00:00:00Z,2023-05-03T16:49:55Z,2023-06-27,tenant-048,5724.52,Mobile,Safari,2023-06-14,Chat,1.36,May,voice_72b4e9f21771b74f.wav,2018-07-11,Q3 2023,2023-10-03,September,"$179,981",1998,1999,2025-05-18,22:35:20,Q2 2026,Wearable,Q1 2020,2018-04-19T00:00:00Z,2012,Lisinopril 10mg,Associate's,Brave,BP 143/62 HR 115,false,NullPointerException at line 1207,+61,Edge,2018-04-08 15:14:08,4251.57,max=8858,2020-10-06,batch-20220810-73,263 days
Mobile,2020-2025,,2020-2025,This record manages data processing activities.,Brave,Jan-Mar,9.62,Friday,CO,2020-06-15,0.19,Phone,1.2.15,October,Monday,Firefox,Mobile,Opera,Bonjour,false,2025-03-13,2022-09-17,Updated: Policy Change,Email,Tablet,In-Store,/var/data/daily_804.json,2019-08-04,Chat,Q3 2021,2003,3.25,2020-07-01T00:00:00Z,2024-09-27T20:42:45Z,2023-01-08,tenant-014,5006.6,Desktop,Edge,2026-02-02,In-Store,8.97,June,voice_454a84fa2238e82f.wav,2023-11-05,Q4 2021,2019-12-08,March,"$59,315",2015,2017,2018-07-12,23:34:31,Q4 2022,Tablet,Q2 2022,2020-01-05T00:00:00Z,1995,Albuterol 90mcg,Bachelor's,Chrome,BP 108/67 HR 107,true,Connection timeout after 3471ms,+91,Brave,2018-12-08 12:39:34,8179.83,crit=6872,2020-01-29,batch-20240214-61,331 days
In-Store,FY 2025,,Jan-Mar,The product includes data processing activities.,Edge,Q1 2024,7.69,Wednesday,GA,2020-03-14,7.53,Mobile,4.11.39,October,Friday,Edge,Wearable,Safari,Bonjour,true,2024-03-18,2023-03-14,Updated: Policy Change,In-Store,Desktop,Phone,/var/exports/batch_978.yaml,2023-05-25,Chat,Q4 2022,2025,0.01,2023-09-22T00:00:00Z,2019-01-11T17:43:55Z,2019-07-23,tenant-008,5345.35,IoT,Brave,2022-10-07,Email,1.1,September,voice_f4d23770b7f3313b.wav,2021-12-29,Q4 2025,2024-03-27,November,"$57,906",2020,2022,2018-05-22,01:59:34,Q3 2020,Wearable,Q4 2024,2024-11-29T00:00:00Z,2024,Lisinopril 10mg,Bachelor's,Firefox,BP 118/67 HR 79,false,ValueError: invalid literal for int(),+81,Edge,2021-06-18 20:33:57,246.78,max=2630,2025-11-29,batch-20210213-62,113 days
